Study,Run,outcome
2.0,142.0,1.0
2.0,143.0,1.0
2.0,144.0,1.0
2.0,145.0,1.0
2.0,146.0,1.0
2.0,147.0,1.0
2.0,148.0,1.0
2.0,149.0,1.0
2.0,150.0,1.0
2.0,151.0,1.0
2.0,152.0,1.0
2.0,153.0,1.0
2.0,154.0,1.0
2.0,155.0,1.0
2.0,156.0,1.0
2.0,157.0,1.0
2.0,158.0,1.0
2.0,159.0,1.0
2.0,160.0,0.0
2.0,161.0,1.0
2.0,162.0,1.0
2.0,163.0,1.0
2.0,164.0,1.0
2.0,165.0,1.0
2.0,166.0,1.0
2.0,167.0,1.0
2.0,168.0,1.0
2.0,169.0,1.0
2.0,170.0,1.0
2.0,171.0,1.0
2.0,172.0,1.0
2.0,173.0,1.0
2.0,174.0,1.0
2.0,175.0,1.0
2.0,176.0,1.0
2.0,177.0,1.0
2.0,178.0,1.0
2.0,179.0,1.0
2.0,180.0,1.0
3.0,1.0,1.0
3.0,2.0,1.0
3.0,3.0,1.0
3.0,4.0,1.0
3.0,5.0,1.0
3.0,6.0,0.0
3.0,7.0,1.0
3.0,8.0,1.0
3.0,9.0,1.0
3.0,10.0,1.0
3.0,11.0,1.0
3.0,12.0,1.0
3.0,13.0,1.0
3.0,14.0,1.0
3.0,15.0,1.0
3.0,16.0,1.0
3.0,17.0,0.0
3.0,18.0,1.0
3.0,19.0,1.0
3.0,20.0,1.0
3.0,21.0,1.0
3.0,22.0,1.0
3.0,23.0,1.0
3.0,24.0,1.0
3.0,25.0,1.0
3.0,26.0,1.0
3.0,27.0,0.0
3.0,28.0,1.0
3.0,29.0,1.0
3.0,30.0,1.0
3.0,31.0,1.0
3.0,32.0,1.0
3.0,33.0,1.0
3.0,34.0,1.0
3.0,35.0,1.0
3.0,36.0,1.0
3.0,37.0,1.0
3.0,38.0,1.0
3.0,39.0,1.0
3.0,40.0,1.0
3.0,41.0,1.0
3.0,42.0,1.0
3.0,43.0,1.0
3.0,44.0,0.0
3.0,45.0,1.0
3.0,46.0,1.0
3.0,47.0,1.0
3.0,48.0,1.0
3.0,49.0,1.0
3.0,50.0,1.0
3.0,51.0,1.0
3.0,52.0,1.0
3.0,53.0,1.0
3.0,54.0,1.0
3.0,55.0,1.0
3.0,56.0,1.0
3.0,57.0,1.0
3.0,58.0,1.0
3.0,59.0,1.0
3.0,60.0,0.0
3.0,61.0,1.0
3.0,62.0,1.0
3.0,63.0,1.0
3.0,64.0,1.0
3.0,65.0,1.0
3.0,66.0,1.0
3.0,67.0,1.0
3.0,68.0,1.0
3.0,69.0,1.0
3.0,70.0,1.0
3.0,71.0,1.0
3.0,72.0,1.0
3.0,73.0,0.0
3.0,74.0,1.0
3.0,75.0,1.0
3.0,76.0,1.0
3.0,77.0,1.0
3.0,78.0,1.0
3.0,79.0,1.0
3.0,80.0,1.0
3.0,81.0,1.0
3.0,82.0,1.0
3.0,83.0,1.0
3.0,84.0,1.0
3.0,85.0,1.0
3.0,86.0,1.0
3.0,87.0,1.0
3.0,88.0,0.0
3.0,89.0,1.0
3.0,90.0,1.0
3.0,91.0,1.0
3.0,92.0,1.0
3.0,93.0,1.0
3.0,94.0,1.0
3.0,95.0,1.0
3.0,96.0,1.0
3.0,97.0,0.0
3.0,98.0,1.0
3.0,99.0,1.0
3.0,100.0,1.0
3.0,101.0,1.0
3.0,102.0,1.0
3.0,103.0,1.0
3.0,104.0,1.0
3.0,105.0,1.0
3.0,106.0,1.0
3.0,107.0,1.0
3.0,108.0,1.0
3.0,109.0,1.0
3.0,110.0,1.0
3.0,111.0,1.0
3.0,112.0,1.0
3.0,113.0,1.0
3.0,114.0,1.0
3.0,115.0,1.0
3.0,116.0,1.0
3.0,117.0,1.0
3.0,118.0,1.0
3.0,119.0,1.0
3.0,120.0,0.0
3.0,121.0,1.0
3.0,122.0,1.0
3.0,123.0,1.0
3.0,124.0,1.0
3.0,125.0,1.0
3.0,126.0,1.0
3.0,127.0,1.0
3.0,128.0,1.0
3.0,129.0,1.0
3.0,130.0,1.0
3.0,131.0,1.0
3.0,132.0,1.0
3.0,133.0,1.0
3.0,134.0,1.0
3.0,135.0,1.0
3.0,136.0,1.0
3.0,137.0,1.0
3.0,138.0,1.0
3.0,139.0,1.0
3.0,140.0,1.0
3.0,141.0,1.0
3.0,142.0,1.0
3.0,143.0,1.0
3.0,144.0,1.0
3.0,145.0,1.0
3.0,146.0,1.0
3.0,147.0,1.0
3.0,148.0,0.0
3.0,149.0,1.0
3.0,150.0,1.0
3.0,151.0,1.0
3.0,152.0,1.0
3.0,153.0,1.0
3.0,154.0,1.0
3.0,155.0,0.0
3.0,156.0,1.0
3.0,157.0,1.0
3.0,158.0,1.0
3.0,159.0,1.0
3.0,160.0,1.0
3.0,161.0,1.0
3.0,162.0,1.0
3.0,163.0,1.0
3.0,164.0,1.0
3.0,165.0,1.0
3.0,166.0,0.0
3.0,167.0,1.0
3.0,168.0,1.0
3.0,169.0,1.0
3.0,170.0,1.0
3.0,171.0,1.0
3.0,172.0,1.0
3.0,173.0,0.0
3.0,174.0,1.0
3.0,175.0,1.0
3.0,176.0,1.0
3.0,177.0,0.0
3.0,178.0,1.0
3.0,179.0,1.0
3.0,180.0,1.0
1.6053085331905277,7.5522232012852495,0.0
1.3115737185473773,55.81898397016836,0.0
1.0,164.34991582594583,0.0
1.0,44.985825831893614,0.0
1.7910812823846398,15.373243847153919,0.0
1.6711435168240505,127.95970834858355,0.0
3.0,68.33759184314987,0.0
1.5083272981394775,58.50832729813948,0.0
1.7047094115810613,6.657615295770449,0.0
1.6774492357613995,41.290203056954404,0.0
1.3026604101506511,155.0,0.0
2.7267573371159424,156.22959198297826,0.0
1.0,121.94851305252799,0.0
2.447180023092092,122.76409988453953,0.0
1.0,165.482550718239,0.0
1.5802191435537236,39.938465995123934,0.0
1.0,173.66930973327206,0.0
2.0,11.338164530388166,0.0
2.0,135.10246401559735,0.0
2.0051848627739868,97.99481513722601,0.0
1.372105585051364,118.72105585051364,0.0
1.1942739535120421,95.58282186053613,0.0
1.1418818339998553,1.3547045849996384,0.0
1.0,165.98391913606943,0.0
2.050768531039397,159.746157344803,0.0
1.0,78.79367995734538,0.0
2.0,92.16570063124223,0.0
1.8422702089848826,86.26340531347732,0.0
2.123051753963826,78.26168947621704,0.0
2.3440522705903986,59.344052270590396,0.0
2.6718473325252683,5.343694665050537,0.0
2.6899167665445116,119.22479191636128,0.0
1.981840888310531,115.87288621817372,0.0
1.0,62.19466751034682,0.0
1.0,156.25635843519493,0.0
1.250251360515864,94.25125680257932,0.0
3.0,166.27184314100597,0.0
1.0,111.42612411738578,0.0
3.0,11.09209330083679,0.0
3.0,162.40683634024356,0.0
1.3442619924248227,82.93442804545106,0.0
2.456914168360516,149.90080041073819,0.0
1.0,57.51352562547078,0.0
2.0854696767725427,78.94444710097846,0.0
1.3159538499760373,83.94629997515575,0.0
2.805619966005127,29.52694044193335,0.0
2.177292189886643,78.34760076573681,0.0
1.0,93.60097557846561,0.0
2.0,17.383530924178014,0.0
1.2654908444859396,94.07078204429921,0.0
2.9390737342283177,119.84768433557079,0.0
2.714595104179952,97.28540489582005,0.0
3.0,176.54825731555337,0.0
1.0,94.20235819711041,0.0
2.433520737580742,93.66479262419259,0.0
2.4880852859982308,59.48808528599823,0.0
1.5017210546933224,130.48795261714673,0.0
2.63133265133726,16.26266530267452,0.0
1.0,49.72785669955478,0.0
1.5716855250598922,96.71505657517967,0.0
1.0,157.8035008931117,0.0
1.0581935955084436,108.35987044940713,0.0
1.9152137276264805,37.593503906614636,0.0
1.4423522297311044,9.01882993242006,0.0
1.4795747183148065,161.84191376758338,0.0
1.0938732900812917,95.28161987024387,0.0
2.0,93.09719598264384,0.0
2.8692279946794192,148.45770201862203,0.0
2.2765411876867008,171.5530823753734,0.0
2.5166962574265668,26.516696257426567,0.0
1.6857773429996663,80.885335942002,0.0
2.564327101322109,94.82163550661055,0.0
3.0,19.699606834381814,0.0
1.0954322553832976,12.66598710615846,0.0
2.433962789505924,34.35848373642299,0.0
1.1586464476424911,80.22105026699488,0.0
2.7596707043887156,148.72098788683385,0.0
1.0,154.6581203332836,0.0
2.9082009341865582,6.917990658134419,0.0
1.1883139765371202,92.5292150586572,0.0
2.0,7.73695971269553,0.0
1.0204894713784913,95.06146841413548,0.0
1.350660539778677,1.8766513494466928,0.0
2.0,97.8970333890095,0.0
1.763364423003911,92.70990673098827,0.0
2.8069129770507795,16.80691297705078,0.0
1.3463043210894008,6.194564816341012,0.0
1.4646738129396115,93.60597856118116,0.0
3.0,175.59909473057104,0.0
2.9038821516059325,87.90388215160593,0.0
2.949145731591386,120.25427134204307,0.0
2.1133196127019525,160.67991767621172,0.0
1.0,87.826255363392,0.0
2.9693909194192303,5.923477298548076,0.0
2.066563691920517,116.26625476768207,0.0
1.9979202321694816,79.51351849089838,0.0
1.921245103199875,172.6849804127995,0.0
1.683963769398141,39.21225361421301,0.0
2.2317023287798277,173.9268093151193,0.0
2.8877832091215145,96.77556641824303,0.0
1.0,57.21952235975235,0.0
3.0,89.19520959800496,0.0
1.7271928051079775,151.81842158467606,0.0
1.3981014106352005,162.2085436521416,0.0
1.6456633152340365,81.80318845097877,0.0
1.0,89.58693633337546,0.0
2.8714996467660896,155.64250176616954,0.0
1.377591646527994,153.67842923715202,0.0
2.6412789514879105,155.0,0.0
2.6259396701015727,26.625939670101573,0.0
1.820426843771268,97.4612805313138,0.0
1.0,48.87921319399097,0.0
2.2066843598767454,132.69305024197206,0.0
2.4520777453577325,166.8218833819634,0.0
2.570821760583252,75.57506943650048,0.0
1.6227409167720241,43.395331749051785,0.0
1.0,85.96103686768977,0.0
1.3817461156621071,156.90873057831053,0.0
1.0,48.71175900844217,0.0
1.0,80.75421891695406,0.0
1.0,112.68762027420661,0.0
1.0,157.8654769792449,0.0
1.34062456946424,134.68124913892848,0.0
1.260694528235903,10.653749245876872,0.0
1.0,166.48018727146703,0.0
2.6928903586919395,95.4644517934597,0.0
1.6516633955468025,113.0450098133596,0.0
1.1267036962885855,164.1267036962886,0.0
1.0391863266756463,114.88244101997306,0.0
1.5820539682844212,114.0897301585779,0.0
1.0,154.03241944847974,0.0
1.4520281167519127,113.64391564974426,0.0
2.1530581153837627,8.96429659615683,0.0
1.8629594325000833,9.979641986249709,0.0
1.0,82.60739660206468,0.0
2.7316477552996403,42.92659102119856,0.0
1.2553794588449312,3.0430356707594495,0.0
1.0,85.7499835507839,0.0
2.1610880246878197,68.8054401234391,0.0
2.867116607209722,89.32883392790278,0.0
1.8762666157124528,118.31439992356869,0.0
1.23859685979034,131.85262826188693,0.0
1.6798447799002458,41.28062088039901,0.0
1.520182479105251,2.3004561977631273,0.0
1.0,79.90588921923184,0.0
1.7554577723525897,94.51091554470518,0.0
1.4656725264694366,134.93134505293887,0.0
1.0,115.99312238136615,0.0
2.2207638275615933,165.2207638275616,0.0
1.5952703490186217,85.89290552352793,0.0
1.1999697743237268,175.9001662412195,0.0
3.0,26.46514703252631,0.0
2.0,15.50249796259838,0.0
3.0,149.06999799133087,0.0
3.0,168.48433633323904,0.0
1.9568008851264564,91.39521239177039,0.0
2.323230095575697,90.70707961769722,0.0
3.0,175.06991620142944,0.0
2.493025657771805,4.98605131554361,0.0
2.9167155888047405,28.082697345538374,0.0
2.816591705483038,148.5502248835509,0.0
2.602440925901119,97.39755907409888,0.0
1.5537030523458006,2.6611091570374024,0.0
1.425455790048458,4.403646320387663,0.0
2.05380545711831,160.32283274270986,0.0
1.2187039495287975,116.7812960504712,0.0
1.886535397982552,5.021181418157032,0.0
1.0,58.34535447156354,0.0
1.0257517914655898,109.07725537439677,0.0
3.0,154.9715186942123,0.0
1.0,44.7821961654829,0.0
2.474071113582018,157.36667998888092,0.0
2.091831540329978,87.09183154032998,0.0
1.2941685161213055,46.35248335490825,0.0
2.031348056025865,112.25078444820691,0.0
2.311969989824961,39.18378992877473,0.0
1.836963874237374,112.48910837728788,0.0
2.733737410621683,177.0,0.0
2.67696152752797,96.67696152752796,0.0
1.8521829500938822,177.0,0.0
1.7774235824289695,97.33227074728691,0.0
2.2066967960914963,171.41339359218298,0.0
3.0,167.18913400345545,0.0
1.8533951783079745,135.70679035661595,0.0
2.0,113.94669532523042,0.0
2.7667719275754723,26.766771927575473,0.0
1.0,54.86172415882505,0.0
1.0,85.863138521989,0.0
1.0,48.40179984319208,0.0
1.7633148063179211,158.57988883790753,0.0
1.9076937063485464,135.8153874126971,0.0
1.8162225223574313,67.08111261178716,0.0
1.700436493400627,164.70043649340062,0.0
2.4163623911663996,70.081811955832,0.0
1.4816669879641153,116.51833301203588,0.0
3.0,12.842136508655202,0.0
1.0,80.35932508562672,0.0
1.0,115.49744830886057,0.0
3.0,54.715959535694424,0.0
2.0,95.39328893307037,0.0
1.5073643477462775,65.53682173873139,0.0
1.8104041735628342,67.05202086781418,0.0
2.0,21.714730252050106,0.0
1.0,91.18681702637468,0.0
2.5343897062171434,149.62963602824,0.0
1.0,75.3418552781504,0.0
1.5115766861134041,82.67475154026287,0.0
1.0,122.42232973935255,0.0
2.2375064712924697,91.04997411483012,0.0
1.8004457857440497,170.6008915714881,0.0
2.044570218239545,167.43314467264068,0.0
2.8342173566132915,74.0775871820136,0.0
1.9432597574055817,168.2446689083251,0.0
2.4363358316065558,94.18167915803278,0.0
2.0,37.593672252919795,0.0
1.0,58.11049665622865,0.0
1.887989922714831,80.2280655023536,0.0
2.0,39.03194083516725,0.0
2.0,37.13020234989452,0.0
2.075356669776404,112.60285335821123,0.0
1.0,12.029388583343913,0.0
1.7470098320107588,6.276911511903171,0.0
1.609177753786705,94.2183555075734,0.0
3.0,96.32108907619208,0.0
1.833784568090747,138.99187777436654,0.0
1.7831908934135088,111.34957268024053,0.0
1.0,115.58898789367886,0.0
3.0,16.954145125323077,0.0
1.6061498882723704,166.72767449722568,0.0
1.0,94.23159633724156,0.0
3.0,19.628992941569805,0.0
2.0,125.93220224163983,0.0
3.0,154.71091685185493,0.0
1.0,109.46291118206166,0.0
2.39452179860813,39.76165259025691,0.0
1.8932439340641156,159.3594636043847,0.0
1.6713201295939264,177.0,0.0
2.660640192208869,165.66064019220886,0.0
1.7063032766625523,53.05587706336213,0.0
2.0,22.11731616010128,0.0
1.0,115.4587894914099,0.0
2.468124150071522,74.3296896248212,0.0
1.7206901904105365,95.72069019041054,0.0
1.2599498628542627,42.96020054858295,0.0
1.4532408468288311,88.17268592780182,0.0
2.0,92.1938957066579,0.0
2.279763507168946,97.72023649283105,0.0
2.0,21.88793279127814,0.0
2.6027818820232986,5.205563764046597,0.0
2.0,23.290423574848703,0.0
3.0,61.73140662790875,0.0
1.0,154.92379962040084,0.0
1.1189363457292332,63.594681728646165,0.0
2.0,21.833609422615208,0.0
2.1623252423616526,3.9058131059041314,0.0
2.0,97.51505931101336,0.0
3.0,165.08976737961163,0.0
1.8766614859257928,92.37001554222262,0.0
1.55158787254407,161.79364850982373,0.0
3.0,175.186823127493,0.0
3.0,170.12121418390242,0.0
1.444795432529549,166.00157944638298,0.0
2.4803700818663548,94.40185040933177,0.0
1.0147139493344957,117.11771159467597,0.0
1.6232610300620594,92.37673896993795,0.0
2.0,96.49746979985643,0.0
1.392989448978859,96.17896834693657,0.0
3.0,18.708357792934855,0.0
2.4309185308342522,162.58551118500552,0.0
1.9364881704099988,159.61892902245998,0.0
2.9263562647280175,96.85271252945603,0.0
1.8661478811993668,159.1968872871962,0.0
1.0273439296539946,117.04101589448099,0.0
2.8492818792950754,59.17105033612292,0.0
2.308285602831088,123.45857198584456,0.0
3.0,66.94650157538302,0.0
2.7499107494699717,42.99964299787989,0.0
1.0868342477423572,109.6078397341965,0.0
1.0,80.9039532737217,0.0
1.0,47.83430818299413,0.0
1.757081202042456,113.21459398978772,0.0
2.0,38.13355164782736,0.0
1.0,175.07132134136293,0.0
2.5899093429869504,96.1798186859739,0.0
3.0,153.23990292341742,0.0
1.7252682029740911,113.37365898512954,0.0
2.2072276490080567,116.82891059603223,0.0
2.7564413349583843,173.48711733008324,0.0
1.4860017356555426,117.72900260348331,0.0
1.9531035322087802,40.422068210120976,0.0
2.4626550359493855,70.31327517974692,0.0
1.0,116.82252206375759,0.0
2.003669626708214,151.48715630652126,0.0
1.0,166.61894651605493,0.0
1.0,10.976457880750015,0.0
2.0,122.23000484206055,0.0
1.3672285295738753,64.83614264786938,0.0
2.0320262345601767,15.679737654398231,0.0
1.9115917766343533,124.29273421307482,0.0
2.583635678939266,156.8736394447733,0.0
1.8200882057247278,92.12969127996345,0.0
1.5199540329815249,121.1596322638522,0.0
2.0,121.21517799201432,0.0
2.569336527888619,177.0,0.0
2.3606386430257578,93.80319321512879,0.0
2.6100893350387238,96.61008933503872,0.0
2.0968489413233735,4.193697882646747,0.0
2.382736287902708,22.555373408875628,0.0
2.980462725092378,88.0781490996305,0.0
1.608087849541885,89.25661494679319,0.0
2.273288643244565,155.0,0.0
2.0,10.657787302506708,0.0
2.0910020910513305,92.45501045525666,0.0
2.4527940653004565,44.0,0.0
3.0,159.97809062410977,0.0
3.0,52.78543284134233,0.0
1.179057443193454,168.73141383520982,0.0
2.404081096916099,45.48979725770975,0.0
1.4763977239849888,134.95279544796998,0.0
2.697641871493463,164.1858512289608,0.0
1.4070564486522454,169.81411289730448,0.0
1.9186936158923449,86.91869361589235,0.0
2.684182830037419,167.73699443479418,0.0
2.537835482630795,16.07567096526159,0.0
2.066235977851866,116.26494391140746,0.0
1.091722532809266,163.5872486023583,0.0
2.6208056844220913,20.41274884020118,0.0
1.3474134082254143,105.17845250952044,0.0
2.0,23.90869208921486,0.0
2.159299868943477,3.898249672358692,0.0
2.341563210456545,93.70781605228272,0.0
2.0745268334281404,95.14905366685628,0.0
2.460119158983572,115.68095327186857,0.0
1.8304677881016926,95.83046778810169,0.0
1.8006009778205627,86.20090146673084,0.0
1.3023324263030682,155.8139945578184,0.0
1.1800672723492984,11.379394548856313,0.0
2.393002932454158,169.33848387150212,0.0
1.5883387856424718,121.70671028513978,0.0
2.7486352097088345,96.49727041941767,0.0
1.9695278902715783,151.60665238404948,0.0
2.9731103492701045,97.0268896507299,0.0
2.0,119.58258144013136,0.0
2.0,133.53766027503048,0.0
1.8217906368444492,92.53462808946665,0.0
2.0,33.20409109395374,0.0
2.6523807855173165,5.304761571034633,0.0
2.0,135.6501485036632,0.0
2.0,38.64614592762223,0.0
1.0,124.91480043654711,0.0
2.0,22.440085157280137,0.0
3.0,88.95204463393667,0.0
2.871251601700356,7.287483982996439,0.0
2.6699004866898446,16.669900486689844,0.0
2.0,7.858993176160348,0.0
1.1845811724574922,154.3539658963988,0.0
3.0,175.07541842377483,0.0
2.687784717096083,19.809937546135252,0.0
1.9766859729054775,167.53497104064178,0.0
1.3139553654323874,175.27324549012187,0.0
2.3772859652420726,140.52743158290488,0.0
1.0,168.98702487808177,0.0
2.868301107035587,120.65849446482207,0.0
2.084517007680682,91.66193196927728,0.0
2.5972780822554307,22.570058904809734,0.0
2.9725139917336305,155.0,0.0
1.926818708025335,90.68295322993666,0.0
1.9240417591074332,92.2278747226777,0.0
2.527766933765191,7.65281573182183,0.0
1.4800891821248288,153.3196878625631,0.0
3.0,66.09354519834406,0.0
3.0,24.20516061391465,0.0
2.875317274977517,176.50126909991008,0.0
2.8522609080937733,5.704521816187547,0.0
1.2662338571749565,117.39935078576244,0.0
1.0,83.49732404322666,0.0
1.1555593273663711,116.84444067263362,0.0
2.499232464017175,59.499232464017176,0.0
1.0609443054671883,93.12188861093438,0.0
2.0,117.1950651703275,0.0
2.3541466707931256,90.5834133168275,0.0
1.6028361674959175,113.19149149751225,0.0
2.104869166532481,96.95130833467519,0.0
1.5251895878123618,93.16183644265674,0.0
1.8177161215240418,114.72401285066829,0.0
2.5639650920188366,89.74413963192465,0.0
1.0,84.72567988702345,0.0
2.8215913425758874,44.0,0.0
1.929328871968953,117.32332217992239,0.0
2.5335671769003976,70.66783588450198,0.0
1.6570731357217396,21.541950764382616,0.0
3.0,151.6822104099861,0.0
2.3551043032793046,33.44895696720695,0.0
