Set,nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O],logBCF,Class
1,2.0,0.0,0.0,0.3,2.27,1.25,0.0,0.0,0.0,1.02,1.0
1,0.0,0.0,0.0,0.18,0.98,1.78,0.0,0.0,8.0,1.04,2.0
1,0.0,0.0,1.24,0.22,3.26,1.25,0.0,0.0,0.0,2.35,1.0
1,3.0,0.0,1.24,0.24,4.06,0.61,0.0,0.0,0.0,3.14,1.0
1,0.0,0.0,1.24,0.12,-0.02,0.55,0.0,0.0,0.0,0.33,1.0
1,1.0,0.0,1.23,0.28,3.05,0.65,0.0,0.0,0.0,1.4,1.0
1,0.0,0.0,0.0,0.34,3.48,1.67,0.0,0.0,0.0,2.32,1.0
1,0.0,0.0,1.23,0.21,2.61,0.86,0.0,0.0,0.0,0.92,3.0
0,1.0,0.0,0.0,0.36,2.57,1.38,0.0,0.0,0.0,1.31,1.0
1,0.0,0.0,1.23,0.17,1.51,0.66,0.0,0.0,1.0,0.9,1.0
1,1.0,0.0,1.23,0.19,1.11,0.57,0.0,1.0,0.0,1.03,2.0
1,1.0,0.0,0.0,0.47,2.23,1.07,0.0,0.0,0.0,1.22,1.0
1,0.0,0.0,0.95,0.16,0.16,0.44,0.0,0.0,0.0,0.52,1.0
1,1.0,0.0,0.95,0.32,1.17,0.44,0.0,0.0,0.0,0.79,1.0
0,0.0,6.219,2.56,0.16,2.96,1.73,0.0,1.0,0.0,2.45,1.0
0,0.0,0.0,1.22,0.19,2.26,0.67,0.0,0.0,0.0,1.94,1.0
1,0.0,0.0,0.0,0.25,-0.47,1.0,0.0,1.0,0.0,0.41,1.0
0,0.0,0.0,0.0,0.23,-0.47,0.92,0.0,1.0,0.0,0.22,1.0
1,2.0,0.0,0.0,0.35,1.59,0.81,0.0,0.0,0.0,0.62,1.0
1,1.0,7.438,3.55,0.16,3.11,3.08,0.0,1.0,9.0,2.77,1.0
1,0.0,0.0,0.0,0.4,4.52,2.5,0.0,0.0,0.0,3.15,3.0
1,0.0,0.0,0.58,0.22,-0.38,1.1,0.0,1.0,0.0,-0.13,1.0
0,2.0,5.894,1.61,0.16,4.28,1.78,0.0,1.0,2.0,1.55,3.0
1,0.0,1.386,0.0,0.38,5.4,3.25,0.0,0.0,0.0,2.59,3.0
1,0.0,5.864,1.92,0.2,4.76,3.35,2.0,1.0,10.0,1.84,3.0
1,1.0,6.262,2.07,0.18,4.4,2.41,0.0,1.0,0.0,2.2,1.0
1,6.0,4.007,0.52,0.21,2.62,1.16,0.0,0.0,16.0,0.08,3.0
1,7.0,5.231,0.44,0.24,3.12,1.39,0.0,0.0,8.0,3.44,2.0
1,5.0,5.901,1.97,0.23,5.15,1.53,0.0,0.0,4.0,3.78,1.0
1,0.0,0.0,0.0,0.21,-1.32,0.9,0.0,0.0,0.0,0.03,1.0
0,1.0,6.124,2.23,0.19,4.79,2.09,0.0,0.0,21.0,2.38,3.0
0,3.0,4.66,1.32,0.32,1.89,2.13,0.0,0.0,11.0,1.68,1.0
1,4.0,0.0,0.12,0.32,2.36,1.35,0.0,0.0,9.0,0.16,1.0
0,10.0,6.747,2.34,0.32,7.39,1.19,0.0,0.0,2.0,2.29,3.0
0,1.0,5.979,2.11,0.13,3.33,2.01,2.0,1.0,8.0,3.32,1.0
1,4.0,0.0,1.5,0.19,4.0,0.68,0.0,1.0,4.0,3.25,1.0
1,0.0,7.084,2.66,0.14,2.32,1.49,0.0,1.0,10.0,1.55,3.0
1,0.0,5.42,1.37,0.22,5.43,5.02,0.0,0.0,18.0,2.38,3.0
1,0.0,6.455,2.38,0.17,3.21,1.7,0.0,1.0,0.0,2.35,1.0
1,6.0,0.0,1.27,0.23,5.21,0.59,0.0,0.0,0.0,4.27,1.0
1,3.0,0.0,1.25,0.31,3.76,0.62,0.0,0.0,1.0,2.71,1.0
1,1.0,4.523,1.49,0.14,3.58,0.83,0.0,1.0,6.0,1.95,1.0
1,1.0,0.0,1.38,0.17,2.3,0.75,0.0,0.0,4.0,0.75,1.0
1,0.0,0.0,1.83,0.13,2.36,1.06,0.0,1.0,16.0,0.99,1.0
0,2.0,6.072,1.81,0.23,2.89,2.46,1.0,1.0,11.0,0.77,3.0
1,1.0,5.736,1.94,0.2,3.45,2.91,1.0,1.0,3.0,1.14,3.0
0,0.0,0.0,1.5,0.15,1.7,0.92,0.0,1.0,5.0,0.96,1.0
1,2.0,6.924,2.55,0.17,4.34,2.53,0.0,1.0,8.0,2.5,1.0
1,2.0,0.0,1.56,0.19,2.96,0.7,0.0,1.0,0.0,2.0,1.0
0,0.0,6.711,2.32,0.23,5.15,3.39,0.0,0.0,10.0,2.67,3.0
1,1.0,5.768,2.15,0.18,3.66,1.44,0.0,0.0,4.0,1.82,3.0
1,0.0,5.614,2.19,0.16,3.59,1.39,0.0,0.0,4.0,1.01,3.0
0,0.0,4.375,2.37,0.17,3.39,1.06,0.0,0.0,0.0,2.5,1.0
1,1.0,7.44,3.41,0.16,2.73,3.13,0.0,1.0,11.0,2.53,1.0
0,0.0,6.477,2.28,0.17,3.05,1.74,0.0,1.0,0.0,1.64,1.0
0,3.0,7.201,2.29,0.16,2.65,1.43,0.0,1.0,1.0,2.51,1.0
1,0.0,7.744,3.53,0.16,4.33,1.46,0.0,0.0,0.0,3.26,1.0
1,6.0,3.367,0.14,0.46,1.94,2.75,2.0,1.0,0.0,1.18,3.0
1,0.0,0.0,1.24,0.17,1.58,1.05,0.0,1.0,1.0,0.69,1.0
0,3.0,0.0,1.24,0.23,4.06,0.61,0.0,0.0,0.0,3.19,1.0
0,2.0,0.0,1.24,0.2,2.73,0.63,0.0,0.0,1.0,1.71,1.0
1,0.0,6.832,3.33,0.19,4.86,2.73,0.0,1.0,4.0,2.84,3.0
1,0.0,0.0,1.7,0.14,2.24,0.99,0.0,1.0,10.0,0.9,1.0
0,1.0,3.045,0.08,0.27,2.73,3.0,2.0,1.0,0.0,0.65,3.0
1,0.0,0.0,0.0,0.27,1.59,1.8,0.0,1.0,0.0,0.45,1.0
1,0.0,6.124,2.21,0.17,3.04,2.02,0.0,1.0,0.0,2.59,1.0
1,0.0,0.0,1.2,0.2,2.19,1.06,0.0,1.0,0.0,0.96,1.0
1,1.0,0.0,1.49,0.17,2.51,0.71,0.0,1.0,4.0,1.89,2.0
0,3.0,1.386,0.26,0.43,0.49,2.23,0.0,0.0,10.0,1.26,1.0
0,0.0,0.0,0.62,0.13,1.4,0.92,0.0,1.0,0.0,0.3,1.0
1,0.0,0.0,1.6,0.13,1.64,0.83,0.0,1.0,8.0,0.6,1.0
1,0.0,6.522,2.46,0.16,3.37,2.98,0.0,1.0,8.0,0.88,3.0
0,2.0,4.559,1.47,0.26,1.92,1.38,0.0,1.0,12.0,1.89,1.0
1,0.0,6.285,1.27,0.22,4.25,2.96,0.0,0.0,2.0,3.02,3.0
0,1.0,2.409,1.22,0.17,2.27,1.71,0.0,1.0,0.0,0.84,1.0
1,0.0,5.614,2.21,0.17,3.4,1.35,0.0,1.0,0.0,2.24,1.0
1,4.0,7.371,2.62,0.21,1.0,1.48,0.0,1.0,12.0,-0.1,1.0
1,0.0,0.0,0.0,0.18,0.7,1.33,0.0,0.0,3.0,0.28,1.0
1,0.0,0.0,0.0,0.2,-0.47,0.83,0.0,0.0,0.0,-0.29,1.0
0,0.0,0.0,0.16,0.36,4.38,2.08,0.0,0.0,0.0,3.18,3.0
1,1.0,5.547,1.7,0.23,5.21,3.52,0.0,0.0,19.0,2.59,3.0
1,2.0,7.4,3.39,0.16,4.3,1.58,0.0,1.0,3.0,3.7,1.0
1,1.0,5.724,1.63,0.21,4.25,2.65,0.0,1.0,2.0,2.11,1.0
1,0.0,0.0,0.0,0.31,0.33,0.95,0.0,0.0,0.0,0.42,1.0
1,1.0,0.0,0.37,0.42,0.09,0.97,0.0,0.0,0.0,0.62,1.0
1,7.0,2.565,0.09,0.46,4.76,1.74,0.0,0.0,9.0,0.45,3.0
1,1.0,1.946,0.1,0.32,3.23,3.38,0.0,0.0,12.0,1.38,3.0
1,2.0,5.039,1.19,0.21,3.44,2.32,1.0,1.0,5.0,2.2,1.0
1,4.0,0.0,0.34,0.4,2.46,0.21,0.0,0.0,0.0,1.78,1.0
1,2.0,0.0,0.19,0.32,1.0,0.48,0.0,0.0,0.0,0.76,2.0
1,0.0,0.0,1.24,0.26,4.18,2.38,0.0,0.0,7.0,3.12,3.0
1,2.0,6.425,1.66,0.16,4.34,2.36,2.0,1.0,6.0,2.25,1.0
1,0.0,8.699,4.16,0.15,4.76,1.65,0.0,0.0,0.0,2.97,1.0
0,0.0,7.063,2.67,0.14,2.84,1.46,0.0,0.0,13.0,2.31,1.0
1,2.0,6.917,2.16,0.15,3.12,2.2,0.0,1.0,7.0,0.38,3.0
1,2.0,5.991,2.35,0.19,4.95,1.26,0.0,0.0,0.0,3.64,1.0
1,4.0,0.0,0.11,0.65,1.97,2.26,0.0,0.0,2.0,2.73,1.0
1,1.0,7.084,2.66,0.16,3.42,1.44,0.0,0.0,10.0,2.31,3.0
1,4.0,0.0,0.0,0.41,2.96,0.46,0.0,0.0,0.0,1.6,1.0
1,0.0,6.766,2.44,0.12,1.42,1.32,0.0,1.0,5.0,2.56,1.0
0,0.0,5.981,2.21,0.15,3.18,1.54,0.0,0.0,7.0,2.03,1.0
0,0.0,6.895,2.96,0.15,3.26,2.62,1.0,1.0,11.0,3.48,1.0
1,0.0,4.263,0.66,0.18,0.41,2.32,0.0,0.0,13.0,0.78,1.0
0,0.0,7.233,3.24,0.15,2.86,1.27,0.0,0.0,2.0,3.19,1.0
1,1.0,7.233,3.24,0.2,3.88,1.27,0.0,0.0,0.0,3.11,1.0
1,2.0,4.559,1.15,0.36,2.25,2.12,0.0,0.0,7.0,1.51,3.0
1,4.0,4.234,0.55,0.3,1.82,1.42,1.0,1.0,6.0,1.98,1.0
1,4.0,5.433,1.45,0.27,2.57,1.05,1.0,1.0,6.0,1.75,1.0
1,0.0,5.72,0.46,0.22,4.25,4.51,1.0,1.0,10.0,3.07,3.0
1,1.0,6.866,2.22,0.16,4.4,2.05,0.0,1.0,5.0,1.84,1.0
0,0.0,6.747,3.7,0.18,4.08,3.29,0.0,1.0,13.0,3.2,1.0
1,0.0,6.29,2.38,0.16,2.64,1.1,0.0,1.0,0.0,1.44,1.0
1,0.0,3.726,1.25,0.19,2.82,2.16,1.0,1.0,4.0,0.34,3.0
0,0.0,5.901,2.25,0.2,4.67,1.87,0.0,0.0,0.0,3.23,3.0
0,0.0,7.163,3.34,0.16,4.28,1.74,0.0,1.0,0.0,2.38,3.0
1,2.0,7.657,3.37,0.15,4.85,1.83,1.0,1.0,4.0,1.94,1.0
1,4.0,0.0,0.1,0.29,3.23,2.01,0.0,0.0,18.0,0.69,3.0
1,7.0,0.0,0.09,0.29,4.03,1.73,0.0,0.0,18.0,1.18,3.0
1,0.0,5.527,2.18,0.15,2.09,2.21,2.0,1.0,12.0,2.2,1.0
1,0.0,5.538,2.22,0.15,2.09,1.99,2.0,1.0,11.0,2.22,1.0
1,4.0,0.0,0.26,0.42,0.45,1.09,2.0,0.0,0.0,0.54,1.0
1,0.0,7.24,2.63,0.17,4.11,2.78,0.0,0.0,10.0,3.02,3.0
1,1.0,6.676,2.3,0.19,2.86,2.06,0.0,1.0,10.0,1.04,1.0
0,0.0,0.0,1.22,0.21,3.56,1.81,0.0,0.0,0.0,2.77,1.0
0,1.0,5.244,1.74,0.17,3.3,2.11,1.0,1.0,8.0,1.85,1.0
1,0.0,0.0,0.0,0.33,2.27,2.17,0.0,0.0,2.0,1.89,1.0
1,0.0,6.152,2.6,0.16,3.07,2.25,0.0,1.0,10.0,2.34,1.0
1,10.0,6.405,0.11,0.21,4.91,1.27,0.0,0.0,2.0,3.19,3.0
1,0.0,0.0,0.0,0.3,1.39,1.65,0.0,0.0,1.0,-0.16,3.0
1,0.0,2.303,0.24,0.17,-0.06,1.38,0.0,0.0,12.0,-0.4,3.0
1,2.0,0.0,0.0,1.38,4.76,3.41,0.0,0.0,0.0,3.3,1.0
0,2.0,5.059,1.65,0.26,1.85,2.17,0.0,1.0,8.0,2.89,1.0
1,1.0,6.882,2.88,0.17,1.53,1.16,0.0,1.0,0.0,1.98,2.0
1,0.0,0.0,0.0,0.29,2.5,2.21,0.0,0.0,4.0,1.04,3.0
1,2.0,3.956,2.09,0.25,1.77,0.8,0.0,1.0,0.0,0.65,3.0
0,0.0,3.219,0.43,0.24,2.82,2.38,0.0,0.0,3.0,0.65,3.0
1,0.0,5.752,1.34,0.23,4.82,2.9,0.0,0.0,3.0,2.78,3.0
0,2.0,0.0,1.26,0.21,2.78,0.81,0.0,0.0,2.0,0.43,3.0
1,0.0,6.76,2.39,0.17,3.1,2.82,1.0,1.0,8.0,1.99,1.0
1,3.0,5.048,1.26,0.2,3.72,2.19,1.0,1.0,7.0,2.06,1.0
1,0.0,5.098,1.37,0.18,1.46,1.79,1.0,0.0,7.0,1.08,1.0
1,0.0,0.0,1.21,0.17,1.58,1.26,0.0,1.0,1.0,0.76,1.0
1,1.0,0.0,1.24,0.2,2.46,0.84,0.0,0.0,1.0,1.28,1.0
1,0.0,5.411,1.58,0.15,4.21,2.61,0.0,1.0,8.0,3.44,1.0
1,3.0,6.173,2.29,0.2,5.47,1.24,0.0,0.0,0.0,3.88,1.0
1,4.0,6.285,2.41,0.2,5.99,1.23,0.0,0.0,0.0,3.85,1.0
1,1.0,4.808,1.32,0.19,3.18,2.45,1.0,1.0,5.0,1.12,3.0
1,0.0,5.852,1.97,0.19,4.24,3.14,2.0,1.0,13.0,1.04,3.0
0,0.0,0.0,0.63,0.22,2.96,1.46,0.0,0.0,0.0,2.05,3.0
1,1.0,0.0,0.44,0.26,2.06,1.38,0.0,0.0,9.0,-0.01,3.0
1,0.0,0.0,0.0,0.33,1.21,0.96,0.0,0.0,0.0,0.18,1.0
1,0.0,4.605,0.03,0.1,8.32,2.4,0.0,0.0,2.0,2.65,2.0
1,2.0,6.019,2.31,0.19,4.95,1.26,0.0,0.0,0.0,3.85,1.0
0,3.0,6.173,2.31,0.2,5.47,1.23,0.0,0.0,0.0,4.09,1.0
1,3.0,2.151,1.26,0.19,3.03,0.94,0.0,0.0,4.0,3.5,2.0
1,0.0,2.303,0.26,0.2,0.73,1.54,0.0,0.0,12.0,0.05,1.0
0,2.0,0.0,1.52,0.28,2.94,0.69,0.0,1.0,1.0,1.46,3.0
1,2.0,0.0,1.52,0.24,2.65,0.69,0.0,1.0,1.0,0.84,3.0
0,2.0,0.0,1.38,0.17,1.34,0.67,0.0,1.0,4.0,0.0,1.0
1,3.0,5.316,1.93,0.42,3.78,2.02,0.0,0.0,9.0,1.51,3.0
1,1.0,0.0,1.36,0.21,3.74,1.03,0.0,0.0,0.0,2.87,1.0
1,1.0,7.224,2.57,0.14,2.78,2.78,2.0,1.0,17.0,2.72,3.0
1,0.0,6.381,1.31,0.22,4.55,3.43,0.0,0.0,6.0,2.12,3.0
0,4.0,7.183,2.48,0.18,4.09,1.23,0.0,0.0,4.0,4.79,1.0
1,1.0,3.876,1.24,0.17,2.09,1.21,2.0,1.0,4.0,1.15,1.0
1,1.0,6.822,3.29,0.15,3.69,2.36,1.0,1.0,13.0,2.85,1.0
1,1.0,3.219,0.12,0.12,3.88,1.18,0.0,0.0,3.0,3.73,2.0
1,3.0,0.0,1.49,0.18,3.7,0.69,0.0,1.0,4.0,2.2,1.0
1,0.0,6.553,2.29,0.15,1.66,2.42,2.0,1.0,3.0,1.43,1.0
1,2.0,0.0,1.24,0.21,2.78,0.8,0.0,0.0,2.0,0.51,3.0
1,5.0,4.275,1.29,0.34,3.6,1.07,0.0,0.0,5.0,3.62,1.0
1,5.0,0.0,1.27,0.21,4.19,0.76,0.0,0.0,1.0,4.16,1.0
1,2.0,6.451,2.38,0.19,4.49,1.04,0.0,0.0,0.0,3.75,1.0
1,5.0,6.366,2.29,0.2,6.23,1.23,0.0,0.0,0.0,4.85,1.0
0,3.0,6.491,2.46,0.17,4.3,1.32,0.0,1.0,6.0,3.31,1.0
1,4.0,3.641,1.44,0.17,3.65,1.14,0.0,0.0,8.0,3.41,1.0
0,0.0,5.324,1.58,0.15,4.21,2.61,0.0,1.0,8.0,3.2,3.0
1,3.0,0.0,1.5,0.19,3.7,0.68,0.0,1.0,4.0,2.6,1.0
0,2.0,6.259,2.06,0.24,2.81,2.31,0.0,1.0,9.0,2.74,1.0
1,3.0,4.437,1.56,0.28,1.87,1.16,0.0,1.0,5.0,2.33,1.0
1,4.0,0.0,1.72,0.19,3.13,0.74,0.0,1.0,0.0,1.53,1.0
1,1.0,5.524,1.72,0.19,1.96,2.59,0.0,1.0,12.0,1.88,3.0
1,1.0,2.784,1.21,0.19,2.59,1.84,0.0,1.0,0.0,0.73,3.0
1,3.0,0.0,1.38,0.17,1.12,0.7,0.0,1.0,4.0,-1.7,3.0
1,1.0,2.784,1.2,0.2,2.82,1.68,1.0,1.0,4.0,1.57,1.0
1,2.0,6.208,1.6,0.2,4.03,2.42,1.0,1.0,6.0,2.49,3.0
1,0.0,9.298,5.29,0.15,5.55,2.06,0.0,0.0,0.0,2.38,3.0
1,4.0,6.668,2.4,0.2,5.57,1.02,0.0,0.0,0.0,3.52,3.0
1,1.0,0.0,0.12,0.35,2.57,2.58,1.0,1.0,3.0,2.61,1.0
1,1.0,3.498,1.32,0.2,2.38,1.6,1.0,0.0,5.0,1.88,1.0
0,0.0,0.0,1.5,0.15,1.7,0.92,0.0,1.0,7.0,1.02,1.0
0,2.0,6.149,2.29,0.2,4.95,1.25,0.0,0.0,0.0,2.63,3.0
1,2.0,6.196,2.27,0.19,4.95,1.25,0.0,0.0,0.0,3.58,1.0
0,2.0,6.423,2.39,0.19,4.49,1.04,0.0,0.0,0.0,3.79,2.0
1,2.0,6.565,2.39,0.18,3.75,1.04,0.0,0.0,3.0,1.19,3.0
1,10.0,6.988,2.38,0.21,7.37,1.17,0.0,0.0,0.0,4.24,1.0
1,1.0,5.932,2.27,0.18,4.42,1.27,0.0,0.0,0.0,2.43,3.0
1,0.0,8.486,4.12,0.15,4.76,1.65,0.0,0.0,0.0,3.5,1.0
1,0.0,7.097,2.69,0.16,3.88,1.24,0.0,0.0,0.0,2.48,1.0
0,2.0,6.027,2.18,0.25,3.31,2.06,0.0,1.0,12.0,2.84,1.0
0,5.0,4.275,1.29,0.32,3.46,1.07,0.0,0.0,5.0,2.12,3.0
1,1.0,0.0,0.89,0.23,1.6,1.43,1.0,1.0,3.0,1.02,1.0
0,8.0,6.803,2.39,0.21,6.93,1.18,0.0,0.0,0.0,5.82,2.0
0,3.0,5.662,2.27,0.31,2.24,1.05,0.0,1.0,0.0,2.07,1.0
1,5.0,5.873,2.07,0.3,4.54,1.54,0.0,0.0,7.0,3.78,3.0
1,0.0,4.467,1.28,0.15,2.52,1.34,2.0,1.0,2.0,1.61,1.0
1,0.0,8.598,4.69,0.16,5.17,1.88,0.0,0.0,0.0,2.41,3.0
1,0.0,8.626,4.72,0.16,5.17,1.87,0.0,0.0,0.0,2.24,3.0
1,0.0,3.611,0.05,0.1,5.57,1.47,0.0,0.0,2.0,3.46,2.0
0,0.0,6.381,2.38,0.16,2.93,1.22,0.0,0.0,3.0,2.26,1.0
1,2.0,4.66,1.2,0.27,3.75,2.49,0.0,1.0,14.0,2.04,1.0
1,8.0,7.157,2.41,0.21,6.55,0.97,0.0,0.0,0.0,2.58,3.0
0,0.0,6.423,2.39,0.16,2.02,1.13,0.0,1.0,0.0,0.46,1.0
1,1.0,4.559,1.47,0.21,2.38,1.38,0.0,1.0,14.0,0.44,1.0
1,0.0,9.194,5.9,0.15,4.68,2.2,0.0,1.0,0.0,2.03,3.0
1,0.0,5.011,0.85,0.21,3.4,2.82,0.0,0.0,11.0,3.06,1.0
1,4.0,0.0,0.35,0.31,3.01,1.98,1.0,1.0,5.0,3.15,1.0
1,4.0,5.502,1.35,0.34,1.66,2.25,1.0,1.0,5.0,2.26,3.0
0,0.0,4.652,1.31,0.18,1.65,1.85,1.0,1.0,2.0,1.38,2.0
1,1.0,5.43,1.27,0.23,3.27,3.09,0.0,0.0,10.0,4.14,2.0
1,1.0,0.0,0.62,0.2,-0.46,1.24,2.0,1.0,3.0,0.3,1.0
0,1.0,5.016,1.27,0.2,3.91,3.37,1.0,1.0,6.0,0.38,3.0
0,12.0,6.405,0.0,0.23,6.52,1.3,0.0,0.0,0.0,4.31,1.0
1,5.0,6.894,3.65,0.19,3.31,2.17,2.0,1.0,13.0,1.9,2.0
0,4.0,6.366,2.33,0.21,5.99,1.22,0.0,0.0,0.0,4.39,1.0
1,0.0,1.386,0.12,0.25,0.73,2.1,1.0,1.0,3.0,1.73,2.0
1,2.0,0.0,1.25,0.18,2.43,0.79,0.0,0.0,3.0,1.98,1.0
1,3.0,4.751,1.48,0.26,2.19,1.17,0.0,1.0,9.0,1.89,1.0
1,4.0,1.099,0.3,0.59,0.62,2.36,0.0,0.0,4.0,0.52,1.0
1,4.0,1.099,0.22,0.64,0.71,2.33,0.0,0.0,4.0,0.0,3.0
1,0.0,8.026,3.81,0.15,3.73,1.86,0.0,0.0,11.0,1.63,3.0
0,1.0,5.633,1.54,0.21,1.55,1.64,1.0,1.0,12.0,1.32,1.0
1,0.0,4.808,1.77,0.13,1.89,0.8,0.0,1.0,8.0,1.16,1.0
0,2.0,5.096,1.39,0.28,2.99,2.96,0.0,1.0,14.0,2.12,3.0
1,0.0,7.819,3.53,0.17,4.59,1.66,0.0,0.0,0.0,3.48,1.0
0,0.0,3.446,1.25,0.25,4.14,2.06,0.0,0.0,0.0,3.26,1.0
1,4.0,0.0,1.27,0.19,3.03,0.78,0.0,0.0,3.0,2.56,3.0
0,0.0,0.0,1.5,0.15,1.7,0.92,0.0,1.0,8.0,1.16,1.0
1,4.0,0.0,0.93,0.28,2.07,1.02,0.0,1.0,1.0,2.22,1.0
0,3.0,4.676,1.14,0.4,1.64,1.97,0.0,0.0,9.0,1.8,3.0
1,0.0,6.329,2.38,0.19,4.58,3.1,0.0,0.0,12.0,2.62,3.0
1,2.0,4.691,1.1,0.35,2.8,2.4,0.0,0.0,11.0,0.97,3.0
1,0.0,7.744,3.53,0.15,3.05,1.39,0.0,1.0,0.0,2.25,1.0
1,1.0,5.828,1.4,0.21,1.67,2.18,0.0,0.0,10.0,2.16,2.0
1,0.0,4.076,1.21,0.17,2.53,2.34,0.0,1.0,0.0,1.2,3.0
1,0.0,3.992,1.35,0.19,2.11,1.75,1.0,0.0,5.0,0.82,1.0
0,2.0,4.275,1.49,0.28,1.3,1.18,0.0,1.0,5.0,1.56,1.0
